ID,Date_birth,Date_driving_licence,Premium,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Length,Weight
43890,1983-06-30,2002-06-28,74.39,163,1995,34500.0,4,D,4.52,1430
43900,1981-05-20,1999-09-27,69.92,177,1968,37460.0,5,D,4.799,1489
44036,1981-07-30,2002-10-23,64.41,90,1461,21049.67,5,D,4.282,1351
44510,1970-01-01,1988-05-26,81.37,120,1995,14980.83,4,P,4.462,1100
44627,1989-09-17,2008-05-06,72.05,130,1199,26670.0,5,P,4.365,1475
44864,1965-04-02,1999-12-21,66.94,122,1560,15860.0,5,D,3.965,1150
45077,1958-08-01,1988-02-01,78.48,110,1422,13520.0,5,D,4.239,1130
45346,1959-07-05,1979-07-05,65.68,156,1998,22638.5,4,P,4.85,1480
45360,1951-07-23,1975-01-01,62.6,80,3005,7963.41,4,D,4.68,1350
45550,1980-09-12,1999-01-25,61.99,100,2443,17940.21,3,P,4.435,1195
45642,1982-01-07,2002-04-29,61.18,98,1647,4207.08,2,P,4.24,1060
45689,1990-04-20,2008-06-11,77.62,90,1896,13120.1,3,D,3.88,1096
45764,1982-09-16,2001-10-01,81.5,174,2496,17862.08,5,D,4.61,1748
46330,1969-10-11,1998-03-06,66.18,100,1560,22299.82,3,P,4.38,1360
46931,1969-05-01,1988-03-23,72.25,114,1560,23970.0,5,D,4.275,1295
47047,1967-02-01,1998-07-01,46.42,122,2148,33900.0,5,D,4.541,1490
47228,1973-03-06,1997-01-10,40.71,110,1587,18270.0,5,P,4.202,1176
47772,1951-12-19,1990-02-01,53.38,90,1396,18950.54,5,D,4.31,1365
47883,1955-06-01,1986-10-22,48.61,100,998,18245.0,5,P,4.04,1101
47956,1950-08-01,1970-01-01,61.18,245,4973,60251.46,2,P,4.39,1570
48148,1958-03-19,1980-04-03,41.43,90,1997,17901.0,5,D,4.137,1295
48283,1960-05-08,1981-12-21,55.88,126,2497,34715.66,5,D,4.78,1510
48296,1941-12-01,1975-09-25,58.82,84,1798,10217.21,2,P,4.355,1270
48395,1978-12-10,2017-05-16,72.31,109,1560,19415.0,5,D,4.472,1391
48398,1972-04-07,2000-08-24,72.02,140,1968,24010.0,5,D,4.199,1276
