Premium,Power,Cylinder_capacity,Value_vehicle,N_doors,Length,Weight,Age,Driving_experience,FuelType_D,FuelType_P
431.44,99,1560,17470.0,4,4.427,1165,63,38,1,0
376.94,105,1598,22605.0,5,4.199,1239,62,44,1,0
554.33,136,1968,27000.0,5,4.765,1710,64,34,1,0
327.34,129,1870,25921.0,5,4.47,1590,64,46,1,0
375.33,125,2298,35567.95,2,5.549,1967,65,8,1,0
316.99,105,1896,22450.0,5,4.315,1320,64,44,1,0
228.82,105,1795,15926.82,5,4.63,1340,64,44,1,0
401.78,110,1582,25240.0,5,4.3,1281,65,45,1,0
306.27,100,2874,19893.5,3,4.355,1785,63,45,1,0
245.53,100,1896,25360.0,3,4.152,1200,63,45,1,0
555.21,120,2402,19382.64,2,5.902,1691,63,45,1,0
268.79,88,1587,16682.76,4,4.38,1397,63,39,1,0
469.09,71,1390,7800.0,3,4.25,1050,63,36,1,0
322.3,115,1896,22470.0,5,4.02,1426,63,45,1,0
276.57,100,1870,21909.0,5,5.182,1728,66,47,1,0
700.76,225,2967,50150.0,4,4.916,1765,63,44,1,0
328.93,100,1686,14710.0,3,3.839,1080,64,45,1,0
269.61,90,1498,12891.0,5,4.425,1210,64,44,0,1
407.23,105,1896,16815.0,5,4.052,1125,65,47,1,0
232.48,105,1968,26300.0,5,4.661,1505,65,47,1,0
235.63,90,1597,11425.24,5,4.302,1020,62,35,0,1
260.96,105,1598,17350.0,5,4.395,1132,62,43,0,1
314.12,130,1896,21985.0,4,4.439,1314,63,44,1,0
472.28,110,1560,22350.0,5,4.5,1495,62,44,1,0
290.55,90,1753,16610.0,5,4.555,1399,63,38,1,0
350.42,90,2685,44223.11,5,4.818,1650,63,38,1,0
399.13,125,1798,17669.76,5,4.731,1337,29,9,0,1
172.88,75,1360,15145.0,5,3.85,1089,63,44,0,1
245.02,90,1995,24950.0,5,4.695,1462,62,44,1,0
264.92,90,1896,14857.02,4,3.88,1096,57,37,1,0
301.68,90,1685,25090.0,4,4.41,1415,57,37,1,0
453.88,90,1461,25330.0,4,4.366,1385,57,37,1,0
339.93,105,1896,19751.12,5,4.315,1250,62,44,1,0
251.23,107,2446,20734.92,5,4.655,1725,62,40,1,0
394.62,90,1997,18340.0,5,4.202,1243,62,44,1,0
72.09,105,1896,20500.0,5,4.469,1430,63,28,1,0
298.42,110,1560,21610.0,5,4.276,1322,65,30,1,0
301.81,150,1896,26700.0,5,4.149,1188,61,42,1,0
497.04,136,1995,38850.0,5,4.527,1505,61,41,1,0
341.63,110,2184,17920.0,3,4.197,1296,62,36,1,0
437.78,150,1991,21070.0,4,4.597,1427,37,19,1,0
240.75,90,1896,14625.0,4,4.163,1159,62,42,1,0
359.55,135,1998,20548.6,4,4.6,1390,62,44,0,1
477.65,110,1587,21500.0,3,4.273,1200,61,43,0,1
265.1,105,1994,17597.63,5,4.315,1220,61,32,1,0
279.95,150,2231,28799.99,4,4.71,1515,62,33,1,0
286.76,116,1950,27205.0,4,4.747,1485,62,40,1,0
236.71,115,1998,17681.78,4,4.43,1146,62,40,0,1
227.07,80,1242,13300.0,3,4.182,1165,61,43,0,1
246.08,80,1242,13300.0,3,4.182,1165,61,43,0,1
734.8,163,1995,34500.0,4,4.52,1430,61,39,1,0
294.21,82,2148,21599.2,5,4.889,1795,61,36,1,0
184.52,127,1910,13041.6,5,4.159,1290,61,43,1,0
357.44,120,1598,17180.0,3,4.03,1180,63,42,0,1
413.03,115,1598,25270.0,4,4.765,1348,61,43,0,1
253.27,99,1560,21080.0,5,4.157,1160,63,45,1,0
275.61,133,1998,18107.29,4,4.53,1170,62,42,0,1
192.1,133,1870,27450.0,4,4.598,1350,62,42,0,1
264.37,90,1995,15750.0,5,4.18,1350,62,44,1,0
262.39,115,1910,18510.0,3,4.182,1265,62,44,1,0
279.44,110,1587,25000.0,2,4.357,1453,61,37,0,1
244.1,90,1997,17205.0,5,4.188,1200,60,42,1,0
352.78,100,1995,23239.54,5,4.317,1428,60,30,1,0
261.72,90,1996,28370.87,5,5.182,1748,60,30,1,0
329.08,100,1910,17627.69,4,4.453,1190,60,41,1,0
268.69,120,1910,27050.0,5,4.611,1428,63,38,1,0
252.36,110,1896,19035.0,4,4.439,1286,59,40,1,0
183.7,99,2477,19984.0,3,4.355,1690,61,42,1,0
295.56,100,1995,23340.0,5,4.596,1450,60,41,1,0
273.1,80,2874,26985.45,5,4.656,1890,59,40,1,0
335.2,110,1560,26755.94,5,4.47,1414,60,22,1,0
317.4,100,1910,15280.0,5,4.159,1320,59,29,1,0
330.21,95,1997,20460.0,5,4.44,1595,59,41,1,0
264.26,102,1598,22458.95,4,4.406,1399,33,15,1,0
725.73,120,1597,23400.0,5,4.3,1310,60,40,1,0
363.3,110,1461,22200.0,5,4.387,1306,59,41,1,0
340.52,110,1896,21360.0,4,4.439,1286,62,42,1,0
252.66,95,3431,18871.78,3,4.675,1900,60,40,1,0
375.59,116,1769,24211.0,4,4.567,1293,62,43,0,1
230.75,90,1997,19099.95,5,4.524,1312,60,42,1,0
248.05,102,2461,20109.87,5,4.65,1520,59,38,1,0
304.16,110,1997,24240.0,4,4.6,1410,61,35,1,0
