Premium,Value_vehicle,Length,Weight,Age,Driving_experience
241.79,22260.0,4.329,1260,36,17
276.41,22250.0,4.315,1365,37,17
143.98,18850.0,4.199,1082,42,24
757.42,26450.0,4.271,1355,37,17
446.52,23259.17,4.02,1317,38,17
280.24,13850.0,3.999,1130,43,25
683.26,19480.0,3.962,1075,36,17
456.76,32000.0,4.447,1492,33,14
585.78,18765.0,4.342,1357,29,9
288.01,19170.0,4.249,1215,34,15
255.36,15460.0,3.817,1065,34,15
276.72,24473.5,4.415,1410,35,17
225.38,16360.0,4.174,1083,65,40
983.04,22025.0,4.36,1205,33,14
207.35,19100.0,4.249,1195,76,51
234.61,22810.0,4.259,1430,72,49
360.78,21090.0,4.204,1287,36,13
894.54,28350.0,4.541,1511,60,41
151.98,14120.0,3.897,1025,52,34
345.2,28346.48,5.099,1960,54,35
221.88,22910.0,4.576,1270,56,36
282.48,23750.0,4.276,1318,59,39
424.46,30810.0,4.765,1476,59,39
305.04,27630.0,4.782,1906,59,32
246.07,20300.0,4.382,1253,58,39
434.77,26090.0,4.152,1200,28,10
640.06,28818.53,4.732,1834,58,40
275.79,45600.0,4.565,1850,58,40
453.4,20700.0,4.315,1250,58,40
227.56,19905.0,4.342,1397,58,37
224.4,14606.0,3.953,1094,64,42
221.47,19100.0,4.297,1521,60,24
306.75,20209.63,4.655,1775,58,38
302.28,16070.0,4.209,1165,57,37
234.41,24720.0,4.467,1553,58,39
298.53,15743.03,4.167,1152,58,24
243.44,17930.0,4.454,1140,57,18
273.17,24720.0,4.467,1553,58,40
160.19,14869.04,4.4,1275,58,40
211.77,23340.0,4.596,1435,57,17
215.64,29100.0,4.64,1655,60,42
186.11,13162.17,4.108,1185,58,14
370.37,21400.0,3.723,1090,55,37
475.01,28345.3,5.135,1732,55,37
311.21,20653.0,4.276,1245,57,19
315.88,18350.0,4.337,1302,57,19
234.68,13450.65,4.12,1225,56,38
288.62,39913.62,4.613,1980,56,38
316.83,15836.67,4.616,1618,58,39
324.56,15550.0,4.255,1389,58,30
241.21,23080.0,4.745,1377,58,34
347.89,20860.0,3.953,1215,57,32
390.74,14625.0,4.163,1159,56,36
256.69,23239.54,4.317,1428,55,29
328.69,17470.0,4.427,1165,56,36
250.03,16850.0,4.28,1035,55,35
319.65,23222.87,4.835,1906,56,33
330.05,28721.2,5.014,1660,55,37
275.56,21520.0,4.149,1204,56,36
267.59,15433.99,4.167,1152,54,32
286.26,18650.0,4.253,1320,54,32
371.9,22610.0,4.204,1389,54,30
238.79,17128.84,4.6,1350,55,36
259.44,35953.51,4.49,1410,55,34
334.88,21700.0,4.498,1240,54,34
410.64,14425.0,3.916,1066,54,34
524.59,19599.93,4.31,1282,54,35
625.26,15805.0,4.184,1150,55,36
342.8,21060.0,5.006,1680,55,33
272.65,27390.0,4.214,1340,55,36
233.42,18070.0,4.51,1230,54,35
248.56,29840.0,4.774,1484,53,25
318.57,51823.11,4.825,1780,53,34
259.64,13913.43,4.174,1194,53,34
230.31,18340.0,4.202,1243,52,33
230.97,24280.89,4.479,1315,53,34
263.73,21100.0,4.209,1205,53,34
319.89,19088.14,4.56,1413,53,35
433.84,26280.0,4.765,1420,54,13
279.49,18650.0,4.253,1320,52,28
295.71,18943.0,4.276,1300,55,32
324.71,19382.64,4.462,1160,55,37
288.55,18710.0,4.253,1320,53,27
263.55,24720.0,4.467,1553,49,24
858.71,141750.0,4.562,1955,52,34
313.27,21221.98,5.658,1690,52,30
244.42,20825.0,4.38,1315,54,33
